user_id,device_type,session_date,session_duration_sec,tasks_completed,user_segment,dropoff_flag,task_completion_time_per_task ,is_high_dropoff_risk
101,Android,03-01-2024,140,2,New,0,70,0
102,iOS,04-01-2024,420,1,Returning,1,420,1
103,Web,05-01-2024,85,3,Power,0,28.33333333,0
104,Android,06-01-2024,500,1,New,1,500,1
105,Web,07-01-2024,210,2,Returning,0,105,0
106,Android,08-01-2024,600,1,New,1,600,1
107,iOS,09-01-2024,310,2,Power,0,155,0
108,Web,10-01-2024,720,1,Returning,1,720,1
109,Android,11-01-2024,95,3,Power,0,31.66666667,0
110,iOS,12-01-2024,450,1,New,1,450,1
111,iOS,13-01-2024,450,1,New,2,450,1
112,iOS,14-01-2024,450,1,New,3,450,1
113,iOS,15-01-2024,450,1,New,4,450,1
114,iOS,16-01-2024,450,1,New,5,450,1
115,iOS,17-01-2024,450,1,New,6,450,1
116,iOS,18-01-2024,450,1,New,7,450,1
117,iOS,19-01-2024,450,1,New,8,450,1
118,iOS,20-01-2024,450,1,New,9,450,1
119,iOS,21-01-2024,450,1,New,10,450,1
120,iOS,22-01-2024,450,1,New,11,450,1
121,iOS,23-01-2024,450,1,New,12,450,1
122,iOS,24-01-2024,450,1,New,13,450,1
123,iOS,25-01-2024,450,1,New,14,450,1
124,iOS,26-01-2024,450,1,New,15,450,1
125,iOS,27-01-2024,450,1,New,16,450,1
126,iOS,28-01-2024,450,1,New,17,450,1
127,iOS,29-01-2024,450,1,New,18,450,1
128,iOS,30-01-2024,450,1,New,19,450,1
129,iOS,31-01-2024,450,1,New,20,450,1
130,iOS,01-02-2024,450,1,New,21,450,1
131,iOS,02-02-2024,450,1,New,22,450,1
132,iOS,03-02-2024,450,1,New,23,450,1
133,iOS,04-02-2024,450,1,New,24,450,1
134,iOS,05-02-2024,450,1,New,25,450,1
135,iOS,06-02-2024,450,1,New,26,450,1
136,iOS,07-02-2024,450,1,New,27,450,1
137,iOS,08-02-2024,450,1,New,28,450,1
138,iOS,09-02-2024,450,1,New,29,450,1
139,iOS,10-02-2024,450,1,New,30,450,1
140,iOS,11-02-2024,450,1,New,31,450,1
141,iOS,12-02-2024,450,1,New,32,450,1
142,iOS,13-02-2024,450,1,New,33,450,1
143,iOS,14-02-2024,450,1,New,34,450,1
144,iOS,15-02-2024,450,1,New,35,450,1
145,iOS,16-02-2024,450,1,New,36,450,1
146,iOS,17-02-2024,450,1,New,37,450,1
147,iOS,18-02-2024,450,1,New,38,450,1
148,iOS,19-02-2024,450,1,New,39,450,1
149,iOS,20-02-2024,450,1,New,40,450,1
150,iOS,21-02-2024,450,1,New,41,450,1
